year,ISO,country_name,dams_used,command_areas,command_area_ha,irrigated_area_ca_ha,country_aei_ha,country_land_area_ha,targeting_ratio
1985,AGO,AGO,9,2,7.0177611580915735e-06,11810.689453125,61514.8203125,0.0036718232607998893,100.45664646388445
1985,CMR,CMR,5,1,3.19009234910457e-05,1556.9317626953125,14663.2490234375,0.00047368914545445866,1.576629128714757
1985,ETH,ETH,4,1,5.4423022117001776e-05,21298.48046875,88822.1796875,0.006061823133421195,26.708395562104787
1985,GHA,GHA,8,1,2.3920777563628185e-05,1629.0799560546875,2606.7587890625,0.00038013785211826783,9.931329191657346
1985,LSO,LSO,2,2,5.4130021673646236e-06,264.5584716796875,999.9999389648438,0.00017822566892425763,8.71071394481321
1985,MLI,MLI,2,1,3.400266404830394e-06,89.36992645263672,60000.0,0.01045586947463022,4.580230755932403
1985,MOZ,MOZ,7,2,5.162851849577569e-06,161.69070434570312,51470.984375,0.002271684683878934,1.3822320721013068
1985,NAM,NAM,13,2,2.2653612197781257e-05,524.6861572265625,4000.0,0.0072230947818741125,41.82399048876575
1985,NGA,NGA,37,14,0.0003600493421237001,46807.0078125,152026.984375,0.0033539224504495002,2.8680135134116056
1985,SDN,SDN,4,4,0.00025268278925909846,216375.078125,1754356.375,0.015830907587122137,7.7271540376342776
1985,SWZ,SWZ,7,4,1.6179996795273535e-05,30973.375,38788.08203125,0.0001033386520030992,5.10005178752733
1985,ZAF,ZAF,374,50,0.0012040937067938596,208366.203125,1023619.75,0.010327992351484098,1.7460000122598636
1985,ZWE,ZWE,111,51,0.0013088904795262434,39358.15625,82460.078125,0.003244654917018311,1.1831946828254816
1995,AGO,AGO,10,2,7.0177611580915735e-06,11810.689453125,61514.8203125,0.0036718232607998893,100.45664646388445
1995,BFA,BFA,78,1,8.158584018112447e-06,1577.6961669921875,23216.328125,0.0021800282210024937,18.158382604189303
1995,CMR,CMR,6,1,3.19009234910457e-05,1803.451171875,16231.19140625,0.00047368914545445866,1.6498488815190402
1995,ETH,ETH,6,1,5.4423022117001776e-05,35527.0,159842.96875,0.006061823133421195,24.756292489250377
1995,GHA,GHA,9,1,2.3920777563628185e-05,1883.596923828125,3474.835205078125,0.00038013785211826783,8.614291890333721
1995,LSO,LSO,2,2,5.4130021673646236e-06,592.0762939453125,2637.94384765625,0.00017822566892425763,7.389995576858753
1995,MLI,MLI,3,2,4.1417377149283185e-05,165.59840393066406,78620.0,0.01045586947463022,0.5317416361631294
1995,MOZ,MOZ,10,4,3.6270713931888546e-05,360.76519775390625,51167.49609375,0.002271684683878934,0.4415932397221034
1995,MRT,MRT,1,1,3.2291564118830987e-05,2564.744140625,45000.0,0.00901276786113693,15.907452538516344
1995,NAM,NAM,16,2,2.2653612197781257e-05,879.0908203125,6857.5,0.0072230947818741125,40.87462496060675
1995,NGA,NGA,58,19,0.0005007649784179495,55884.0390625,175503.28125,0.0033539224504495002,2.1326599597530835
1995,SDN,SDN,4,4,0.00025268278925909846,221737.140625,1937356.375,0.015830907587122137,7.170659132218973
1995,SEN,SEN,1,1,2.8687752354819078e-05,22326.578125,68812.6953125,0.001556642905355434,17.60540704511935
1995,SWZ,SWZ,7,4,1.6179996795273535e-05,33611.5234375,42469.74609375,0.0001033386520030992,5.054671002227947
1995,ZAF,ZAF,571,52,0.0012325922431619992,251347.53125,1237687.625,0.010327992351484098,1.7016100916065582
1995,ZWE,ZWE,413,60,0.001666981752479813,56301.4765625,106666.453125,0.003244654917018311,1.0273764331519621
2005,AGO,AGO,12,2,7.0177611580915735e-06,11810.689453125,61514.83203125,0.0036718232607998893,100.45662732660834
2005,BFA,BFA,85,1,8.158584018112447e-06,1577.6961669921875,23216.328125,0.0021800282210024937,18.158382604189303
2005,CMR,CMR,6,1,3.19009234910457e-05,1803.451171875,17879.0,0.00047368914545445866,1.4977914305790603
2005,ETH,ETH,13,1,5.4423022117001776e-05,35505.9609375,160447.140625,0.006061823133421195,24.648465957538615
2005,GHA,GHA,9,1,2.3920777563628185e-05,2988.31982421875,8084.0244140625,0.00038013785211826783,5.874423916459966
2005,LSO,LSO,5,2,5.4130021673646236e-06,577.5513916015625,2555.793701171875,0.00017822566892425763,7.4404104074369695
2005,MLI,MLI,3,2,4.1417377149283185e-05,394.231201171875,235531.296875,0.01045586947463022,0.42255177488435264
2005,MOZ,MOZ,10,4,3.6270713931888546e-05,356.15850830078125,51020.23828125,0.002271684683878934,0.4372127184341248
2005,MRT,MRT,1,1,3.2291564118830987e-05,2564.744140625,45012.0,0.00901276786113693,15.903211682067793
2005,NAM,NAM,18,2,2.2653612197781257e-05,1265.591796875,7573.0,0.0072230947818741125,53.28580688207873
2005,NGA,NGA,62,20,0.0005019159182652438,66173.71875,213736.46875,0.0033539224504495002,2.0688497843384654
2005,SDN,SDN,4,4,0.00025268278925909846,203687.90625,1855827.75,0.015830907587122137,6.876346157192713
2005,SEN,SEN,2,1,2.8687752354819078e-05,50791.82421875,110706.46875,0.001556642905355434,24.895066250263238
2005,SWZ,SWZ,8,4,1.6179996795273535e-05,34028.05859375,43315.38671875,0.0001033386520030992,5.017407061276918
2005,ZAF,ZAF,695,53,0.0012521422788667445,284223.96875,1379302.0,0.010327992351484098,1.6996658996399432
2005,ZWE,ZWE,603,61,0.0016697336238574658,81711.5859375,159462.6875,0.003244654917018311,0.9957398366981083
2015,AGO,AGO,13,2,7.0177611580915735e-06,11810.689453125,66601.5078125,0.0036718232607998893,92.78427410110957
2015,BFA,BFA,89,2,1.926087724722671e-05,3427.501708984375,51558.91015625,0.0021800282210024937,7.524194327288609
2015,CMR,CMR,6,1,3.19009234910457e-05,2067.197265625,19758.056640625,0.00047368914545445866,1.553559436523337
2015,ETH,ETH,22,3,5.8543606395365757e-05,37501.07421875,160447.140625,0.006061823133421195,24.20112277784411
2015,GHA,GHA,10,1,2.3920777563628185e-05,3117.291015625,8624.2685546875,0.00038013785211826783,5.744085556935183
2015,LSO,LSO,6,2,5.4130021673646236e-06,639.9298706054688,2906.7890625,0.00017822566892425763,7.248546305700285
2015,MLI,MLI,3,2,4.1417377149283185e-05,1343.72119140625,376967.21875,0.01045586947463022,0.8998769782962074
2015,MOZ,MOZ,10,4,3.6270713931888546e-05,356.15850830078125,50597.03515625,0.002271684683878934,0.4408696478996492
2015,MRT,MRT,1,1,3.2291564118830987e-05,2564.744140625,45000.0,0.00901276786113693,15.907452538516344
2015,NAM,NAM,18,2,2.2653612197781257e-05,1265.591796875,8000.0,0.0072230947818741125,50.44167693974777
2015,NGA,NGA,63,20,0.0005019159182652438,71127.609375,233622.71875,0.0033539224504495002,2.034441402712661
2015,SDN,SDN,5,4,0.00025268278925909846,203687.90625,1855000.0,0.015830907587122137,6.879414564487385
2015,SEN,SEN,2,1,2.8687752354819078e-05,50795.83984375,110958.8515625,0.001556642905355434,24.840404611502642
2015,SWZ,SWZ,9,5,1.8287024622257388e-05,34224.5234375,43459.73046875,0.0001033386520030992,4.450103618006197
2015,ZAF,ZAF,710,54,0.0012577041888518251,258898.15625,1506732.375,0.010327992351484098,1.4110104750282952
2015,ZWE,ZWE,607,62,0.001674952340650411,82130.484375,160867.015625,0.003244654917018311,0.9890162780699778
