metric,value
Countries with positive total AEI growth,36
Positive-growth countries with zero inside-envelope growth,22
Positive-growth countries with at least 95% of growth outside envelopes,33
Positive-growth countries with all growth outside envelopes,22
Top 5 total-growth countries' share of regional net growth (%),75.98815293667633
Top 8 total-growth countries' share of regional net growth (%),90.09852075062521
Top 3 outside-growth countries' share of regional outside growth (%),64.7725716646868
Largest inside-growth country,Senegal
Largest inside-growth country inside growth (ha),9851.764990121856
Largest inside-growth country share of regional inside growth (%),82.92306346432562
Outside-growth share excluding Senegal (%),99.6111723632093
Outside-growth share excluding Mali (%),97.08190258199717
